Number of iterations;Difference from the answer
0;2.135559646365254164
1;1.034440353634745836
2;0.7076669189355592127
3;0.09039402074447524751
4;0.03329540084627972024
5;0.006903816188373462727
6;0.002266500082107923502
7;0.0005076116798589296671
8;0.0001682163783821458776
9;3.748426824879216596e-05
10;1.241332913491085882e-05
11;2.767152919623343775e-06
12;9.164116542416758139e-07
13;2.042736517842433722e-07
14;6.765804065736241366e-08
15;1.508663052839954999e-08
16;4.988902992325919272e-09
17;1.107226859893908899e-09
18;3.741214050253897916e-10
19;8.825412996975659508e-11
20;3.138115261354032515e-11
21;4.878909776184769953e-19
